视频,作者模型(Prob),我的模型(Prob),集成模型(Prob),最终判定,状态
007_132.mp4,93.6%,42.6%,73.2%,Fake,🔥 集成修正
008_990.mp4,99.0%,70.2%,87.5%,Fake,🤝 一致
009_027.mp4,99.0%,92.8%,96.5%,Fake,🤝 一致
010_005.mp4,99.0%,61.0%,83.8%,Fake,🤝 一致
011_805.mp4,99.0%,67.6%,86.5%,Fake,🤝 一致
012_026.mp4,99.0%,79.0%,91.0%,Fake,🤝 一致
013_883.mp4,98.7%,71.0%,87.6%,Fake,🤝 一致
014_790.mp4,98.9%,57.0%,82.2%,Fake,🤝 一致
015_919.mp4,99.0%,84.9%,93.4%,Fake,🤝 一致
016_209.mp4,99.0%,51.9%,80.2%,Fake,🤝 一致
017_803.mp4,99.0%,72.3%,88.3%,Fake,🤝 一致
018_019.mp4,99.0%,93.1%,96.6%,Fake,🤝 一致
019_018.mp4,99.0%,70.2%,87.5%,Fake,🤝 一致
020_344.mp4,99.0%,82.1%,92.3%,Fake,🤝 一致
021_312.mp4,77.3%,75.6%,76.6%,Fake,🤝 一致
022_489.mp4,99.0%,74.4%,89.2%,Fake,🤝 一致
023_923.mp4,99.0%,66.5%,86.0%,Fake,🤝 一致
024_073.mp4,99.0%,24.7%,69.3%,Fake,🔥 集成修正
025_067.mp4,99.0%,80.2%,91.5%,Fake,🤝 一致
026_012.mp4,99.0%,64.8%,85.3%,Fake,🤝 一致
027_009.mp4,99.0%,59.5%,83.2%,Fake,🤝 一致
028_068.mp4,99.0%,78.8%,90.9%,Fake,🤝 一致
029_048.mp4,99.0%,75.5%,89.6%,Fake,🤝 一致
030_193.mp4,99.0%,67.8%,86.5%,Fake,🤝 一致
031_163.mp4,99.0%,72.6%,88.5%,Fake,🤝 一致
032_944.mp4,99.0%,69.8%,87.3%,Fake,🤝 一致
033_097.mp4,80.1%,85.5%,82.3%,Fake,🤝 一致
034_590.mp4,99.0%,62.0%,84.2%,Fake,🤝 一致
035_036.mp4,98.8%,60.0%,83.3%,Fake,🤝 一致
036_035.mp4,99.0%,81.7%,92.1%,Fake,🤝 一致
037_072.mp4,98.4%,92.4%,96.0%,Fake,🤝 一致
038_125.mp4,99.0%,67.9%,86.6%,Fake,🤝 一致
039_058.mp4,95.9%,77.4%,88.5%,Fake,🤝 一致
040_997.mp4,99.0%,72.0%,88.2%,Fake,🤝 一致
041_063.mp4,98.9%,87.3%,94.3%,Fake,🤝 一致
042_084.mp4,99.0%,77.8%,90.5%,Fake,🤝 一致
043_110.mp4,99.0%,91.7%,96.1%,Fake,🤝 一致
044_945.mp4,99.0%,82.0%,92.2%,Fake,🤝 一致
045_889.mp4,99.0%,92.5%,96.4%,Fake,🤝 一致
046_904.mp4,99.0%,59.8%,83.3%,Fake,🤝 一致
047_862.mp4,92.9%,85.1%,89.8%,Fake,🤝 一致
048_029.mp4,99.0%,82.7%,92.5%,Fake,🤝 一致
